title,summary,status,location_name,country,scale,solution_types,challenges_addressed,health_linkages_primary,impacts,governance,url_source,environmental_context,_source_file
Balne Lane Fields project,"Balne Lane Fields are an area of land close to the city centre of Wakefield. The site comprises of an area of nine hectares, which includes a former landfill site that has been restored to open green space. Part of the site is within a flood zone (Balne Beck). The field is popular with the local population for informal recreation.",unknown,Wakefield,United Kingdom,neighborhood,"[""Blue infrastructure"", ""Community gardens and allotments"", ""Green areas for water management"", ""Grey infrastructure featuring greens"", ""Parks and urban forests""]","[""Climate change adaptation"", ""Flood protection"", ""Improving physical health"", ""Creation of opportunities for recreation""]","[""Improved physical health"", ""Improved mental health"", ""Enabling opportunities for physical activity""]","[{""description"": ""Increased protection against flooding"", ""type"": ""environmental""}, {""description"": ""Improved stormwater management"", ""type"": ""environmental""}, {""description"": ""Increased opportunities for social interaction"", ""type"": ""social""}, {""description"": ""Improved access to urban green space"", ""type"": ""social""}, {""description"": ""Improved mental health"", ""type"": ""social""}]",Co-governance with government and non-government actors,https://una.city/nbs/wakefield/balne-lane-fields-project,urban,096_Balne_Lane_Fields_project.html
Bangkok City Farm,"Due to the growing population density and extreme climate events in Bangkok, Thailand, food security has become a more and more pressing issue for urban people. As a response, the Bangkok City Farm project was launched in 2010 by the Food and Nutrition Programme of the National Health Promotion Foundation. Implemented in collaboration with the Sustainable Agriculture Foundation Thailand (SAFT), the project aims to encourage and enable people in urban areas to grow their own food.",ongoing,Bangkok,Thailand,regional,"[""community gardens and allotments"", ""green roofs""]","[""food security"", ""climate change adaptation"", ""social justice and equity""]","[""improving mental health"", ""improving physical health""]","[{""description"": ""Improved soil quality"", ""type"": ""environmental""}, {""description"": ""Increased access to healthy/affordable food"", ""type"": ""social""}, {""description"": ""Increased visibility and opportunity for marginalised groups"", ""type"": ""social""}]",Co-governance with government and non-government actors,https://una.city/nbs/bangkok/bangkok-city-farm,urban,097_Bangkok_City_Farm.html
Bangpu Nature Education Center,"Due to the decreasing number of mangrove forests in the inner Gulf of Thailand, WWF Thailand aspires to protect the remaining mangroves. Supporting this objective, WWF worked with Royal Thai Army (RTA) and several other partners to establish the Bangpu Nature Education centre. The education centre offers knowledge about mangroves, mudflat ecology and biodiversity through educational programs tailored for different visitor groups.",completed,Samut Prakan,Thailand,neighborhood,"[""Coastal wetland, mangroves and salt marshes"", ""Large urban parks or forests""]","[""Coastal resilience and marine protection (SDG 14)"", ""Green space, habitats and biodiversity (SDG 15)"", ""Social justice, cohesion and equity (SDG 10)""]","[""Gain in activities for recreation and exercise"", ""Increased knowledge of locals about local nature""]","[{""description"": ""Enhanced protection and restoration of coastal and marine ecosystems"", ""type"": ""environmental""}, {""description"": ""Increased support for education and scientific research"", ""type"": ""social""}, {""description"": ""Increased awareness of NBS and their benefits"", ""type"": ""social""}]",Co-governance with government and non-government actors,https://una.city/nbs/samut-prakan/bangpu-nature-education-center,coastal,098_Bangpu_Nature_Education_Center.html
Banks of the Ebro River,"""After decades of abandonment and deterioration, Zaragoza took advantage of the opportunity of the Expo 2008, to form a new relationship with the Ebro River, transforming empty, inaccessible, degraded and unsafe banks into places of encounter and representation. Public works on the Ebro were designed as structures with various functions."" (Ref.3)",completed,Zaragoza,Spain,regional,"[""Grey infrastructure featuring greens"", ""Blue infrastructure"", ""Parks and urban forests"", ""Green areas for water management""]","[""Water management (SDG 6)"", ""Green space, habitats and biodiversity (SDG 15)"", ""Regeneration, land-use and urban development"", ""Social justice, cohesion and equity (SDG 10)"", ""Health and well-being (SDG 3)"", ""Cultural heritage and cultural diversity""]","[""Enabling opportunities for physical activity"", ""Creation of opportunities for recreation""]","[{""description"": ""Strengthened capacity to address climate hazards/natural disasters"", ""type"": ""environmental""}, {""description"": ""Increased protection against flooding"", ""type"": ""environmental""}, {""description"": ""Improved stormwater management"", ""type"": ""environmental""}, {""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Improved access to urban green space"", ""type"": ""social""}, {""description"": ""Increased opportunities for social interaction"", ""type"": ""social""}, {""description"": ""Gain in activities for recreation and exercise"", ""type"": ""social""}, {""description"": ""Promotion of cultural diversity"", ""type"": ""social""}, {""description"": ""Increased sense of place identity, memory and belonging"", ""type"": ""social""}]",Government-led,https://una.city/nbs/zaragoza/banks-ebro-river,urban,099_Banks_of_the_Ebro_River.html
BASIC Project Cartagena: integrated coastal water resource management,"The BASIC Cartagena Project is an applied research initiative focused on developing tools for integrated coastal water resource management in Cartagena, Colombia. It aims to reduce pollution, conserve ecosystem services, and implement climate change adaptation strategies in the coastal area. The project involves extensive monitoring of water quality and socio-economic conditions of local communities, and it has led to the formulation of several environmental management policies.",ongoing,"Cartagena, Cartagena (FUA)",Colombia,regional,"[""blue infrastructure"", ""coastlines""]","[""Climate action for adaptation, resilience and mitigation (SDG 13)"", ""Climate change adaptation"", ""Coastal resilience and marine protection (SDG 14)"", ""Water management (SDG 6)"", ""Improvements to water quality""]","[""Improved physical health""]","[{""description"": ""Strengthened capacity to address climate hazards/natural disasters"", ""type"": ""environmental""}, {""description"": ""Improved water quality"", ""type"": ""environmental""}, {""description"": ""Increased support for education and scientific research"", ""type"": ""social""}]",Led by EAFIT University in collaboration with other universities and local authorities.,https://una.city/nbs/cartagena-fua/basic-project-cartagena-integrated-coastal-water-resource-management,coastal,100_BASIC_Project_Cartagena_integrated_coastal_water_resource_management.html
"Baubotanical tower in Wald-Ruhestetten, south of Stuttgart","Baubotanik Tower is a test and demonstration building in Wald-Ruhestetten, approx. 150km south of Stuttgart. It exemplifies new engineering possibilities with living plants and visualizes the architectural and ecological potential of Baubotanik. Baubotanik or Living Plant Constructions is a technology of building with living trees, advanced by Stuttgart architect Ferdinand Ludwig.",completed,Wald-Ruhestetten,Germany,site,"[""Nature on buildings (external)""]","[""Green space, habitats and biodiversity (SDG 15)"", ""Environmental quality""]","[""Improved air quality""]","[{""description"": ""Lowered local temperature"", ""type"": ""environmental""}, {""description"": ""Enhanced carbon sequestration"", ""type"": ""environmental""}, {""description"": ""Improved air quality"", ""type"": ""environmental""}, {""description"": ""Improved soil quality"", ""type"": ""environmental""}, {""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Social justice and cohesion"", ""type"": ""social""}, {""description"": ""Improved access to urban green space"", ""type"": ""social""}, {""description"": ""Increased support for education and scientific research"", ""type"": ""social""}, {""description"": ""Increased awareness of NBS and their benefits"", ""type"": ""social""}, {""description"": ""Reduce financial cost for urban management"", ""type"": ""economic""}]",Led by non-government actors,https://una.city/nbs/stuttgart/baubotanical-tower-wald-ruhestetten-south-stuttgart,urban,101_Baubotanical_tower_in_Wald-Ruhestetten_south_of_Stuttgart.html
Bay at Norikus,"New recreation zone ""Norikus Bay"" in Nurenberg was completed in 2018 on the south bank of the Wöhrder lake, an artificial lake created in 1968 to protect the city from flooding. The dam itself, which is a 400m long path separating a part of the water surface from the bigger part of the lake, has become a tourist attraction with a water playground and other recreational amenities being offered. The water is naturally cleaned through the regeneration zone with natural plant filter, and simultaneously improves the habitat of fish and makes recreational swimming in possible in the cleaner water.",completed,Nurnberg,Germany,neighborhood,"[""Parks and urban forests"", ""Large urban parks or forests"", ""Blue infrastructure"", ""Lakes/ponds""]","[""Water management (SDG 6)"", ""Flood protection"", ""Improvements to water quality"", ""Green space, habitats and biodiversity (SDG 15)"", ""Habitat and biodiversity restoration"", ""Habitat and biodiversity conservation"", ""Green space creation and/or management"", ""Environmental quality"", ""Soil quality improvement"", ""Waste management"", ""Health and well-being (SDG 3)"", ""Creation of opportunities for recreation"", ""Cultural heritage and cultural diversity"", ""Preservation of natural heritage""]","[""Gain in activities for recreation and exercise""]","[{""description"": ""Improved water quality"", ""type"": ""environmental""}, {""description"": ""Increased protection against flooding"", ""type"": ""environmental""}, {""description"": ""Improved stormwater management"", ""type"": ""environmental""}, {""description"": ""Improved access to urban green space"", ""type"": ""social""}, {""description"": ""Increased appreciation for natural spaces"", ""type"": ""social""}]",Local government/municipality,https://una.city/nbs/nurnberg/bay-norikus,urban,102_Bay_at_Norikus.html
Bayangol Park,"Bayangol park is located in the Bayangol district of Ulaanbaatar along the Tuul riverside. The 'Bayangol Agropark' was originally established in 2014 under the administration of the Assembly of Citizens' Representatives of Bayangol District. Later, in 2021, it was renamed 'Bayangol Park', and the park activities were expanded. The 50-hectare area along the Tuul river basin is expected to develop into an eco-park where people can enjoy their free time in a safe and welcoming atmosphere.",ongoing,Ulaanbaatar,Mongolia,neighborhood,"[""Parks and urban forests"", ""Large urban parks or forests"", ""Blue infrastructure"", ""Lakes/ponds"", ""Rivers/streams/canals/estuaries"", ""Community gardens and allotments"", ""Horticulture"", ""Grey infrastructure featuring greens"", ""Riverbank/Lakeside greens"", ""Green playgrounds and school grounds""]","[""Climate change mitigation"", ""Air quality improvement"", ""Noise reduction"", ""Habitat and biodiversity conservation"", ""Green space creation and/or management"", ""Improvements to water quality"", ""Enabling opportunities for physical activity"", ""Creation of opportunities for recreation"", ""Environmental education"", ""Economic development: agriculture"", ""Employment/job creation"", ""Sustainable production""]","[""Improved air quality"", ""Gain in activities for recreation and exercise""]","[{""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Increased number of species present"", ""type"": ""environmental""}, {""description"": ""Increase of green jobs (e.g. paid employment positions)"", ""type"": ""economic""}, {""description"": ""Increase in agricultural production (for profit or not)"", ""type"": ""economic""}, {""description"": ""Improved access to urban green space"", ""type"": ""social""}, {""description"": ""Increased visibility and opportunity for marginalised groups or indigenous peoples"", ""type"": ""social""}, {""description"": ""Increased access to healthy/affordable food"", ""type"": ""social""}]",Government-led,https://una.city/nbs/ulaanbaatar/bayangol-park,urban,103_Bayangol_Park.html
Bayou La Batre Green Stormwater Project,"Bayou La Batre, also known as the seafood capital of Alabama, has been facing severe flooding problems, including the occurrence of combined sewerage overflows. The Nature Conservancy has secured funding to install a green stormwater project in Bayou La Batre, adjacent to the library, sports fields and the community center. Alongside the aim of the green stormwater project to decrease flooding events in the community by infiltrating water, it also serves as an education and engagement project.",ongoing,Mobile (FUA),United States,site,"[""Green areas for water management"", ""Rain gardens"", ""Swales and filter strips""]","[""Flood protection"", ""Stormwater and rainfall management and storage"", ""Improvements to water quality""]","[""Improved water quality"", ""Improved community safety to climate-related hazards""]","[{""description"": ""Strengthened capacity to address climate hazards/natural disasters"", ""type"": ""environmental""}, {""description"": ""Improved water quality"", ""type"": ""environmental""}, {""description"": ""Increased protection against flooding"", ""type"": ""environmental""}, {""description"": ""Improved stormwater management"", ""type"": ""environmental""}, {""description"": ""Social justice and cohesion"", ""type"": ""social""}, {""description"": ""Increased awareness of NBS and their benefits"", ""type"": ""social""}]",Led by non-government actors; The Nature Conservancy leads the project; Environmental Protection Agency the funder and partner.,https://una.city/nbs/mobile-fua/bayou-la-batre-green-stormwater-project,urban,104_Bayou_La_Batre_Green_Stormwater_Project.html
BBC Roath Lock Studios,"The project involves the BBC Drama Village - a combination of studios and stores with associated offices and technical suites. It was the requirement for all buildings to achieve a BREEAM Excellent standard. GreenBlue Urban structural RootCell systems were used for this development to create adequate tree root volumes, to ensure optimum tree establishment and growth in a demanding coastal location. A Living Wall has been made which has a number of functions including the provision of a new home for solitary bees, lacewings and other invertebrates.",completed,Cardiff,United Kingdom,site,"[""green walls or facades"", ""sustainable urban drainage systems"", ""green areas for water management"", ""alley or street trees and other street vegetation""]","[""climate change adaptation"", ""climate change mitigation"", ""improvements to water quality"", ""green space creation and/or management"", ""air quality improvement"", ""waste management"", ""conversion of former industrial areas""]","[""improved air quality"", ""improved physical health""]","[{""description"": ""Reduced emissions"", ""type"": ""environmental""}, {""description"": ""Improved air quality"", ""type"": ""environmental""}, {""description"": ""Improved waste management"", ""type"": ""environmental""}, {""description"": ""Improved water quality"", ""type"": ""environmental""}, {""description"": ""Increased opportunities for social interaction"", ""type"": ""social""}, {""description"": ""Gain in activities for recreation and exercise"", ""type"": ""social""}, {""description"": ""Increased support for education and scientific research"", ""type"": ""social""}, {""description"": ""Increase of green jobs"", ""type"": ""economic""}, {""description"": ""Increased property prices"", ""type"": ""economic""}]",Led by non-government actors,https://una.city/nbs/cardiff/bbc-roath-lock-studios,urban,105_BBC_Roath_Lock_Studios.html
Beach park in Bremen,"A project of the local government developed with EU and federal funds that aimed at the development of the green and beach area in the course of the refurbishment of the flood protection system. The initiative sought to provide a model project for urban flood protection, which can showcase that flood protection measures do not require a separation between city and water and new recreational spaces at the water and shore can be created instead. The project involves redevelopment of the shore area, enlargement of the public space at the shore with additional sand deposit and greenery planting.",completed,Bremen,Germany,neighborhood,"[""Parks and urban forests"", ""Blue infrastructure""]","[""Climate change adaptation"", ""Flood protection"", ""Green space creation and/or management"", ""Enabling opportunities for physical activity"", ""Creation of opportunities for recreation""]","[""Gain in activities for recreation and exercise""]","[{""description"": ""Strengthened capacity to address climate hazards/natural disasters"", ""type"": ""environmental""}, {""description"": ""Increased protection against flooding"", ""type"": ""environmental""}, {""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Stimulate development in deprived areas"", ""type"": ""economic""}, {""description"": ""Improved access to urban green space"", ""type"": ""social""}, {""description"": ""Increased opportunities for social interaction"", ""type"": ""social""}]",Local government/municipality,https://una.city/nbs/bremen/beach-park-bremen,urban,106_Beach_park_in_Bremen.html
Beddagana Wetland Preservation,"The Beddagana Wetland Park is located in Sri Jayawardenapura Kotte, Sri Lanka's administrative capital. The wetland park plays an important role in flood regulation and keeping the city cool during periods of extreme heat. The project contributes to the flood management goals of the Metro Colombo Urban Development Project (MCUDP) and demonstrates how a wetland can be preserved while promoting eco-tourism and improved livability in the city.",completed,Sri Jayawardenepura Kotte,Sri Lanka,neighborhood,"[""Coastal wetland, mangroves and salt marshes"", ""Large urban parks or forests""]","[""Flood protection"", ""Air quality improvement"", ""Climate change adaptation"", ""Habitat and biodiversity conservation""]","[""Creation of opportunities for recreation""]","[{""description"": ""Lowered local temperature"", ""type"": ""environmental""}, {""description"": ""Improved air quality"", ""type"": ""environmental""}, {""description"": ""Increased protection against flooding"", ""type"": ""environmental""}, {""description"": ""Improved access to urban green space"", ""type"": ""social""}, {""description"": ""Increased knowledge of locals about local nature"", ""type"": ""social""}, {""description"": ""More sustainable tourism"", ""type"": ""economic""}]",Government-led,https://una.city/nbs/sri-jayawaradenepura-kotte/beddagana-wetland-preservation,urban,107_Beddagana_Wetland_Preservation.html
Bee Park in Montentargius,"The Bee Park Molentargius is a project located in the Molentargius-Saline Regional Natural Park, in Cagliari. It aims to restore specific areas of the park to their original ecological and productive functions, enhance biodiversity, support sustainable agricultural practices, and promote environmental education. The project includes the creation of shared gardens and an educational apiary, designed to reclaim the park’s identity and encourage local participation.",completed,Cagliari,Italy,neighborhood,"[""Community gardens and allotments"", ""Parks and urban forests""]","[""Green space, habitats and biodiversity"", ""Social justice, cohesion and equity"", ""Economic development and employment"", ""Sustainable consumption and production""]",[],"[{""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Expected increased green space area"", ""type"": ""environmental""}, {""description"": ""Increased number of species present"", ""type"": ""environmental""}, {""description"": ""Achieved enhanced support of pollination"", ""type"": ""environmental""}, {""description"": ""Achieved restoration of derelict areas"", ""type"": ""environmental""}, {""description"": ""Expected more sustainable tourism"", ""type"": ""economic""}, {""description"": ""Expected increase in agricultural production"", ""type"": ""economic""}, {""description"": ""Improved social cohesion"", ""type"": ""social""}, {""description"": ""Achieved increased involvement of locals in the management of green spaces"", ""type"": ""social""}, {""description"": ""Expected increased awareness of flora and fauna as culturally and historically meaningful"", ""type"": ""social""}, {""description"": ""Achieved increased knowledge of locals about local nature"", ""type"": ""social""}]",Local government/municipality,https://una.city/nbs/cagliari-fua/bee-park-montentargius,urban,108_Bee_Park_in_Montentargius.html
Bee-Friendly Nottingham,"Bee-friendly Nottingham is a campaign run by Nottingham City Council to make Nottingham a more pollinator-friendly city, promote pollinator-friendly gardening at council events and to protect bee populations by planting pollinator-friendly plants via planting schemes. It aims to make some lasting changes to the way people manage open spaces in order to help wild and domestic bees and provide more flowers for foraging and more habitat for nest sites.",ongoing,Nottingham,United Kingdom,regional,"[""community gardens and allotments"", ""parks and urban forests""]","[""Green space, habitats and biodiversity"", ""Inclusive and effective governance"", ""Social justice, cohesion and equity""]",[],"[{""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Increased conservation or restoration of ecosystems"", ""type"": ""environmental""}, {""description"": ""Reduced biodiversity loss"", ""type"": ""environmental""}, {""description"": ""Increased number of species present"", ""type"": ""environmental""}, {""description"": ""Increased protection of threatened species"", ""type"": ""environmental""}, {""description"": ""Increased involvement of locals in the management of green spaces"", ""type"": ""social""}, {""description"": ""Increased support for education and scientific research"", ""type"": ""social""}, {""description"": ""Increased knowledge of locals about local nature"", ""type"": ""social""}]",Local government/municipality,https://una.city/nbs/greater-nottingham/bee-friendly-nottingham,urban,109_Bee-Friendly_Nottingham.html
Beehives on the roofs of the Catholic University of Lublin,"The initiative involves establishing beehives on the roofs of the Catholic University of Lublin and the Centre for the Meetings of Cultures. It seeks to provide the habitat for the bees in the city, help in pollination, educate the society about the bees and shape more ecologically-friendly attitudes among the students, faculty and visitors. It should also produce honey that can be sold or distributed free of charge, which can serve in a promotional tool of the two institutions.",ongoing,Lublin,Poland,neighborhood,"[""Grey infrastructure featuring greens""]","[""Green space, habitats and biodiversity"", ""Social justice, cohesion and equity"", ""Sustainable consumption and production""]",[],"[{""description"": ""Increased conservation or restoration of ecosystems"", ""type"": ""environmental""}, {""description"": ""Generation of income from NBS"", ""type"": ""economic""}, {""description"": ""Increased access to healthy/affordable food"", ""type"": ""social""}, {""description"": ""Improvement in people’s connection to nature"", ""type"": ""social""}, {""description"": ""Increased knowledge of locals about local nature"", ""type"": ""social""}]","Led by non-government actors, including the Centre for the Meetings of Cultures and the Catholic University of Lublin.",https://una.city/nbs/lublin/beehives-roofs-catholic-university-lublin,urban,110_Beehives_on_the_roofs_of_the_Catholic_University_of_Lublin.html
Beekeeping in Audi Hungaria,"The idea of beekeeping originated from AUDI AG, Audi Hungaria's parent company. In 2015, Audi Hungaria was in the midst of implementing its flora and fauna protection plan thus the beekeeping idea was in line with ongoing developments, and was quickly taken up by management. 6 bee colonies with 270,000 bees were installed in September 2015.",completed,Győr,Hungary,neighborhood,"[""Institutional green space""]","[""Green space, habitats and biodiversity (SDG 15)"", ""Social justice, cohesion and equity (SDG 10)"", ""Sustainable consumption and production (SDG 12)""]",[],"[{""description"": ""Increased conservation or restoration of ecosystems"", ""type"": ""environmental""}, {""description"": ""Generation of income from NBS"", ""type"": ""economic""}, {""description"": ""Increased support for education and scientific research"", ""type"": ""social""}]",Led by non-government actors,https://una.city/nbs/gyor/beekeeping-audi-hungaria,urban,111_Beekeeping_in_Audi_Hungaria.html
Beekeeping Station Bielefeld,"In 2002, the facilities of the Bielefeld Botanic Garden was expanded with a small apiary for local bees. The apiary was opened on the 90th anniversary of the Botanical Garden and since then in its 5 beehives accommodate the bees living in the garden. The facility is a place for breeding of bees to support their pollination activities and thus their role in food production while the apiary also offers visitors the chance to get an insight into the life and work of a beehive.",completed,Bielefeld,Germany,neighborhood,"[""Parks and urban forests"", ""Botanical gardens""]","[""Green space, habitats and biodiversity (SDG 15)"", ""Social justice, cohesion and equity (SDG 10)"", ""Sustainable consumption and production (SDG 12)""]",[],"[{""description"": ""Increased conservation or restoration of ecosystems"", ""type"": ""environmental""}, {""description"": ""Increased number of species present"", ""type"": ""environmental""}, {""description"": ""Increased protection of threatened species"", ""type"": ""environmental""}, {""description"": ""Enhanced support of pollination"", ""type"": ""environmental""}, {""description"": ""Increased knowledge of locals about local nature"", ""type"": ""social""}, {""description"": ""Increased awareness of NBS and their benefits"", ""type"": ""social""}]",Led by non-government actors,https://una.city/nbs/bielefeld/beekeeping-station-bielefeld,urban,112_Beekeeping_Station_Bielefeld.html
Bees at the Biology Institute at the University of Białystok,"After relevant local regulations had been adapted and allowed for keeping apiaries in the city of Białystok, in 2016, the Institute of Biology at the University of Bialystok put six beehives on its rooftop. The initiative aims at increasing biodiversity and pollination in the city. It promotes beekeeping and sustainable production and consumption patterns, and the honey is a brand product of the University.",completed,Białystok,Poland,site,"[""nature on buildings (external)""]","[""Green space, habitats and biodiversity (SDG 15)"", ""Habitat and biodiversity restoration"", ""Inclusive and effective governance (SDG 16)"", ""Effective management"", ""Social justice, cohesion and equity (SDG 10)"", ""Environmental education"", ""Sustainable consumption and production (SDG 12)"", ""Sustainable consumption"", ""Sustainable production""]",[],"[{""description"": ""Enhanced support of pollination"", ""type"": ""environmental""}, {""description"": ""Generation of income from NBS"", ""type"": ""economic""}, {""description"": ""Social justice and cohesion"", ""type"": ""social""}, {""description"": ""Increased access to healthy/affordable food"", ""type"": ""social""}, {""description"": ""Increased awareness of NBS and their benefits"", ""type"": ""social""}]","Led by non-government actors, initiated by researchers/university",https://una.city/nbs/bialystok/bees-biology-institute-university-bialystok,urban,113_Bees_at_the_Biology_Institute_at_the_University_of_Białystok.html
Bees in Hannover,"The “Animal Species Aid Program”, also a part of “More Nature in the City” project of the Department of Environment and Urban Green, mapped out the occurrences of wild bees in Hannover including Leineaue, Alte Bult and the area of Berggarten and Leibniz University. With this program, 244 wild bees and wasp species were detected in Hannover in 2013/2014. In addition to the inventory, the program has also provided care instructions tailored to the individual species in order to protect their habitat.",ongoing,Hannover,Germany,neighborhood,"[""Community gardens and allotments"", ""Parks and urban forests""]","[""Green space, habitats and biodiversity (SDG 15)"", ""Habitat and biodiversity conservation"", ""Green space creation and/or management""]",[],"[{""description"": ""Increased number of protection areas"", ""type"": ""environmental""}, {""description"": ""Increased conservation or restoration of ecosystems"", ""type"": ""environmental""}, {""description"": ""Reduced biodiversity loss"", ""type"": ""environmental""}, {""description"": ""Increased number of species present"", ""type"": ""environmental""}, {""description"": ""Increased protection of threatened species"", ""type"": ""environmental""}, {""description"": ""Enhanced support of pollination"", ""type"": ""environmental""}, {""description"": ""Improvement in people’s connection to nature"", ""type"": ""social""}, {""description"": ""Increased awareness of flora and fauna as culturally and historically meaningful"", ""type"": ""social""}, {""description"": ""Increased knowledge of locals about local nature"", ""type"": ""social""}, {""description"": ""Increased awareness of NBS and their benefits"", ""type"": ""social""}]",Co-governance with government and non-government actors,https://una.city/nbs/hannover/bees-hannover,urban,114_Bees_in_Hannover.html
Bees on the rooftops of Cracow,"The project called “The Apiary of Kraków” includes several interrelated initiatives to establish beehives on the rooftops of various institutions in Cracow. The aim is to provide habitat for bees, and protect biodiversity, support urban pollination, increase social awareness on the topic. Urban honey is of better quality than honey produced in rural areas where pesticides are more common. The local administration-led initiative aims to promote Cracow as a pro-ecological city which soon will be selling its honey.",ongoing,Kraków,Poland,regional,"[""grey infrastructure featuring greens""]","[""Green space, habitats and biodiversity (SDG 15)"", ""Inclusive and effective governance (SDG 16)"", ""Economic development and employment (SDG 8)"", ""Sustainable consumption and production (SDG 12)""]",[],"[{""description"": ""Increased conservation or restoration of ecosystems"", ""type"": ""environmental""}, {""description"": ""Increased number of species present"", ""type"": ""environmental""}, {""description"": ""Increased protection of threatened species"", ""type"": ""environmental""}, {""description"": ""Enhanced support of pollination"", ""type"": ""environmental""}, {""description"": ""Increased support for education and scientific research"", ""type"": ""social""}, {""description"": ""Increased knowledge of locals about local nature"", ""type"": ""social""}, {""description"": ""Increased awareness of NBS and their benefits"", ""type"": ""social""}]",Co-governance with government and non-government actors,https://una.city/nbs/krakow/bees-rooftops-cracow,urban,115_Bees_on_the_rooftops_of_Cracow.html
Beigua: urgent interventions for priority grasslands,"The BEIGUA LIFE Project focused on the development and implementation of six management plans, one for each of the priority habitat types present at the site, to safeguard and restore these endangered habitats located right outside of Genova. Several activities of soil rehabilitation were carried out through planting native species and keeping under control invasive plant species. An awareness raising campaign was held to involve local communities as well.",completed,Genova,Italy,regional,"[""Parks and urban forests""]","[""Green space, habitats and biodiversity (SDG 15)"", ""Environmental quality"", ""Economic development and employment (SDG 8)"", ""Cultural heritage and cultural diversity""]",[],"[{""description"": ""Increased conservation or restoration of ecosystems"", ""type"": ""environmental""}, {""description"": ""Reduced biodiversity loss"", ""type"": ""environmental""}, {""description"": ""Increased number of species present"", ""type"": ""environmental""}, {""description"": ""Increased protection of threatened species"", ""type"": ""environmental""}, {""description"": ""Improved prevention or control of invasive alien species"", ""type"": ""environmental""}, {""description"": ""Increased involvement of locals in the management of green spaces"", ""type"": ""social""}, {""description"": ""Increased awareness of flora and fauna as culturally and historically meaningful"", ""type"": ""social""}, {""description"": ""Increased appreciation for natural spaces"", ""type"": ""social""}, {""description"": ""Increased support for education and scientific research"", ""type"": ""social""}, {""description"": ""Increased knowledge of locals about local nature"", ""type"": ""social""}, {""description"": ""Increased awareness of NBS and their benefits"", ""type"": ""social""}]",Led by non-government actors,https://una.city/nbs/genova/beigua-urgent-interventions-priority-grasslands,unknown,116_Beigua_urgent_interventions_for_priority_grasslands.html
Beijing Plain Area Afforestation Programme (BPAP),"To mitigate environmental pressures, including air pollution and urban heat island effects and to improve urban resilience, the municipal government in Beijing has launched the largest afforestation Programme in 2012, Beijing Plain Area Afforestation Programme (BPAP). The aim was to create huge forest patches, develop urban forest park clusters and optimise the large-scale forest patterns. By 2015, BPAP has created green strategies with nine green wedges, multiple green belts, and green corridors around Beijing's old city centre.",completed,Beijing,China,regional,"[""Parks and urban forests"", ""Large urban parks or forests"", ""Green corridors and green belts""]","[""Air quality improvement"", ""Climate change adaptation"", ""Climate change mitigation"", ""Habitat and biodiversity restoration"", ""Green space creation and/or management""]","[""Gain in activities for recreation and exercise""]","[{""description"": ""Lowered local temperature"", ""type"": ""environmental""}, {""description"": ""Enhanced carbon sequestration"", ""type"": ""environmental""}, {""description"": ""Improved air quality"", ""type"": ""environmental""}, {""description"": ""Improved social cohesion"", ""type"": ""social""}, {""description"": ""Improved access to urban green space"", ""type"": ""social""}]",Government-led,https://una.city/nbs/beijing/beijing-plain-area-afforestation-programme-bpap,urban,117_Beijing_Plain_Area_Afforestation_Programme_BPAP.html
Bela Vista Park Reforestation,"The reforestation project at Bela Vista Park in Lisbon is a collaborative effort by the MEO Kalorama music festival, the Lisbon City Council, and Quercus (local NGO). The intervention began with a community planting event in February 2024 with the planting of 80 native trees, and the goal to plant a total of a total of 1,000 trees. The project aimed to improve the park's biodiversity, enhance carbon absorption, and support local wildlife.",completed,"Lisboa, Lisboa (FUA)",Portugal,neighborhood,"[""Parks and urban forests"", ""Large urban parks or forests""]","[""Climate action for adaptation, resilience and mitigation (SDG 13)"", ""Climate change mitigation"", ""Green space, habitats and biodiversity (SDG 15)"", ""Green space creation and/or management"", ""Habitat and biodiversity restoration"", ""Inclusive and effective governance (SDG 16)"", ""Inclusive governance""]",[],"[{""description"": ""Enhanced carbon sequestration"", ""type"": ""environmental""}, {""description"": ""Reduced risk of damages by drought"", ""type"": ""environmental""}, {""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Improved access to urban green space"", ""type"": ""social""}]",Co-governance with government and non-government actors,https://una.city/nbs/lisboa-fua/bela-vista-park-reforestation,urban,118_Bela_Vista_Park_Reforestation.html
